SL.NO.,HEADS CIRME,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
522,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,2,0,0,0
523,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,174,11,16,23
524,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0
525,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,4,0,0,1
526,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,2,0,0,0
527,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0
528,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,68,9,6,4
529,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,7,1,0,0
530,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,427,60,32,17
531,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,3,0,0,0
532,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0
533,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,145,13,14,9
534,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,83,5,11,5
535,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1959,Sub Total,228,18,25,14
536,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1960,CIVIL RIGHTS,,,,
537,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1961,Protection of Civil Rights Act 1955,4,0,1,1
538,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,1285,115,99,107
539,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,236,24,17,13
540,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,494,39,36,39
541,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,110,15,2,10
542,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,105,11,11,3
543,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,152,11,11,10
544,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,142,9,8,13
545,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,1,0,0,0
546,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0
549,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0
550,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0
551,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0
552,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0
553,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0
554,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0
555,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0
556,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0
557,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,30,1,3,4
558,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,112,7,13,2
559,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0
560,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0
561,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0
562,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0
563,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,57,3,3,3
564,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0
565,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2,1,0,0
566,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,8,0,1,0
567,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0
568,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0
569,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0
570,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0
571,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,215,21,22,10
572,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,84,12,8,9
573,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,4,1,1,0
574,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,305,1,2,5
575,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,1653,212,191,211
576,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,2534,301,233,440
577,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,3,0,0,0
578,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,2,0,0,1
579,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,19,1,12,0
580,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,104,0,0,0
581,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,10,0,0,0
582,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),5874,538,756,1039
583,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),6304,427,957,484
584,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),264,34,21,20
585,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,432,7,8,16
586,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,516,65,21,23
587,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,155,11,10,9
588,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,2,0,0,0
589,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0
590,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0
591,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0
592,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1,0,0,0
593,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
594,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,7,0,2,0
595,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1913,219,129,138
596,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0
597,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,1,0,0,0
598,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0
599,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,8,3,1,1
600,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,1139,125,147,208
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,10,0,1,0
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",13,2,2,2
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,236,13,10,13
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,19,5,1,2
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,204,11,6,27
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,1,0,0,0
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,8278,455,873,1498
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,65,5,5,7
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,7,0,1,0
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,0,0,0
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,0,0
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,33,11,4,3
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,35,7,1,1
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,30,2,13,0
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,0,0,0
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,2,0,0,0
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,5,0,1,1
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,54,5,13,1
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,2,0,0,0
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,0,0,0
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,617,8,6,8
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,0
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,2,0,0,0
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,17,4,1,2
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,66,2,7,9
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,2,0,0,1
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,85,4,9,6
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,0,0,0
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,17,2,2,1
650,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0
651,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,141,7,9,12
652,B - SPECIAL & LOCAL LAWS,CYBER CRIME,CSAM (Child Pornography). Cyber Tip Line,6,2,3,0
653,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Business Fraud,49,0,14,17
654,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Matrimony Fraud,29,0,11,6
655,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Investment Fraud (Trading & Share Trading),930,0,272,273
656,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Fake Customer Care,109,0,39,37
657,B - SPECIAL & LOCAL LAWS,CYBER CRIME,ATM Fraud,3,0,1,0
658,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Digital Arrest,455,0,154,133
659,B - SPECIAL & LOCAL LAWS,CYBER CRIME,AEPS (Aadhaar),7,0,0,1
660,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Others ,490,1,185,170
661,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",16937,2029,24,21
662,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Online Money Transfer,337,0,82,84
663,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Credit Card Fraud,359,0,113,89
664,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Loan App,99,0,28,21
665,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",1,0,1,0
666,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Gifts, iPhone & Lottery Fraud",65,0,20,23
667,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Deep Fake/Deep Nudes,6,0,3,1
668,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Investment Fraud (Part Time Job, Task, Review)",868,3,261,306
669,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Card Skimming,0,0,0,0
670,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Job Fraud,238,0,70,70
671,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Hacking of Accounts & Ids,83,0,22,18
672,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Phishing (Taking Password & Information),23,0,8,6
673,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Email Spoofing / Fraud,9,0,2,2
674,B - SPECIAL & LOCAL LAWS,CYBER CRIME,SIM card Swapping / SIM Jacking / SIM Cloning,8,0,1,2
675,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),157,0,34,28
676,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Crypto Currency, Bitcoin, etc.",28,1,4,11
677,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Remote Access Fraud  (Any Desk/ Team Viewer),2,0,1,1
678,B - SPECIAL & LOCAL LAWS,CYBER CRIME,OLX Fraud,50,0,10,18
679,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Data Theft,17,0,5,6
680,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Fedex,248,0,89,34
681,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Otp Frauds (KYC Update, Apk Link)",325,0,99,99
682,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Sextortion and Revenge Porn,20,0,4,7
683,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Advertising Frauds,23,0,9,8
684,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0
685,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,0,0,0
686,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,1,0,0,0
687,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,7,0,1,0
688,B - SPECIAL & LOCAL LAWS,POCSO,Rape,2940,337,217,193
689,B - SPECIAL & LOCAL LAWS,POCSO,Others ,990,90,78,86
690,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,1,0,0,0
691,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,9,0,3,1
692,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,732,56,42,49
693,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,6311,550,432,419
694,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,128,6,10,8
695,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,180,12,15,19
696,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,1,0,0
697,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,11,2,0,2
698,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,381,29,30,31
699,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0
700,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,35,2,2,1
701,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,763,63,76,63
702,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,0,0,0
703,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,108,7,5,4
704,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,2975,251,214,228
705,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,153,11,15,10
706,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,299,33,30,19
707,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,1,0,0,0
708,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0
709,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,131,12,14,8
710,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,32,4,3,4
711,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,6731,687,474,528
712,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,2,1,0,0
713,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
714,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,66,2,5,9
715,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,3766,257,350,335
716,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,11,1,0,1
717,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,1,0
718,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0
719,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
720,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,4,0,1,0
721,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
722,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0
723,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,16,0,2,2
724,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
725,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,152,11,11,10
726,D.CRIME AGAINST CHILDREN,POCSO Act,NA,3938,427,296,279
727,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,30,1,3,1
728,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,142,9,8,13
729,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,105,11,11,3
730,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,1,0,0,0
731,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,99,8,4,7
732,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,186,13,14,14
733,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,124,7,10,7
734,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,0,0,0,0
735,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,2092,203,151,170
